level1	 level2 	KOGid
Transcription	Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4 and related proteins	[KOG0620]
Function unknown	Uncharacterized conserved protein, contains RtcB domain	[KOG3833]
Lipid transport and metabolism	Sphingolipid hydroxylase	[KOG0874]
Amino acid transport and metabolism	Spermidine synthase	[KOG1562]
Signal transduction mechanisms	Protein kinase C, alpha binding protein	[KOG3651]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone (DnaJ superfamily)	[KOG0568]
General function prediction only	Serine-threonine phosphatase 2B, catalytic subunit	[KOG0375]
General function prediction only	Ca2+-binding proteoglycan Testican	[KOG3555]
Function unknown	Uncharacterized conserved protein	[KOG2029]
Replication, recombination and repair	DNA repair protein	[KOG3226]
Signal transduction mechanisms	Epidermal growth factor receptor kinase substrate	[KOG3557]
Function unknown	Uncharacterized conserved protein	[KOG3830]
Cytoskeleton	Gamma-tubulin complex, DGRIP91/SPC98 component	[KOG2000]
Cytoskeleton	Gamma-tubulin complex, DGRIP84/SPC97 component	[KOG2001]
Inorganic ion transport and metabolism	TPR-containing nuclear phosphoprotein that regulates K(+) uptake	[KOG2002]
General function prediction only	TPR repeat-containing protein	[KOG2003]
Posttranslational modification, protein turnover, chaperones	Mitochondrial ATP-dependent protease PIM1/LON	[KOG2004]
Posttranslational modification, protein turnover, chaperones	26S proteasome regulatory complex, subunit RPN1/PSMD2	[KOG2005]
General function prediction only	WD40 repeat protein	[KOG2006]
Translation, ribosomal structure and biogenesis	Cysteinyl-tRNA synthetase	[KOG2007]
Signal transduction mechanisms	BTK-associated SH3-domain binding protein SAB	[KOG2008]
Transcription	Transcription initiation factor TFIIIB, Bdp1 subunit	[KOG2009]
General function prediction only	Predicted GTPase	[KOG2486]
Signal transduction mechanisms	CDK5 activator-binding protein	[KOG2492]
Carbohydrate transport and metabolism	Glycolipid transfer protein	[KOG3221]
Nuclear structure	Nuclear transport receptor Karyopherin-beta2/Transportin (importin beta superfamily)	[KOG2023]
Intracellular trafficking, secretion, and vesicular transport	Nuclear transport receptor Karyopherin-beta2/Transportin (importin beta superfamily)	[KOG2023]
Function unknown	Predicted membrane protein	[KOG2490]
Replication, recombination and repair	Origin recognition complex, subunit 4	[KOG2228]
Cell cycle control, cell division, chromosome partitioning	Protein required for actin cytoskeleton organization and cell cycle progression	[KOG2229]
Cytoskeleton	Protein required for actin cytoskeleton organization and cell cycle progression	[KOG2229]
Transcription	Transcription factor, subunit of SRB subcomplex of RNA polymerase II	[KOG3046]
General function prediction only	Predicted signal transduction protein	[KOG2220]
Intracellular trafficking, secretion, and vesicular transport	PDZ-domain interacting protein EPI64, contains TBC domain	[KOG2221]
Signal transduction mechanisms	Uncharacterized conserved protein, contains TBC, SH3 and RUN domains	[KOG2222]
General function prediction only	Uncharacterized conserved protein, contains TBC, SH3 and RUN domains	[KOG2222]
Signal transduction mechanisms	Uncharacterized conserved protein, contains TBC domain	[KOG2223]
General function prediction only	Uncharacterized conserved protein, contains TBC domain	[KOG2223]
Carbohydrate transport and metabolism	Predicted 2-oxoglutarate dehydrogenase, E1 subunit	[KOG0451]
RNA processing and modification	Predicted RNA methylase involved in rRNA processing	[KOG3045]
General function prediction only	Proteins containing regions of low-complexity	[KOG2226]
Replication, recombination and repair	Pre-initiation complex, subunit CDC6, AAA+ superfamily ATPase	[KOG2227]
Cell cycle control, cell division, chromosome partitioning	Pre-initiation complex, subunit CDC6, AAA+ superfamily ATPase	[KOG2227]
Function unknown	Uncharacterized conserved protein	[KOG4386]
Function unknown	Uncharacterized conserved protein	[KOG4028]
Transcription	HLH transcription factor EBF/Olf-1 and related DNA binding proteins	[KOG3836]
Coenzyme transport and metabolism	Panthothenate synthetase	[KOG3042]
Function unknown	Uncharacterized conserved protein	[KOG4798]
Cell wall/membrane/envelope biogenesis	Glycosyltransferase	[KOG0853]
Inorganic ion transport and metabolism	Porin/voltage-dependent anion-selective channel protein	[KOG3126]
Transcription	RNA polymerase I termination factor, Myb superfamily	[KOG0051]
Translation, ribosomal structure and biogenesis	Diphthamide biosynthesis protein	[KOG2648]
General function prediction only	Zinc carboxypeptidase	[KOG2649]
RNA processing and modification	Predicted RNA binding protein, contains G-patch domain	[KOG2138]
General function prediction only	WD40 repeat protein	[KOG2139]
Transcription	Transcriptional regulator	[KOG4797]
Posttranslational modification, protein turnover, chaperones	Alpha-1,2 glucosyltransferase/transcriptional activator	[KOG2642]
Transcription	Alpha-1,2 glucosyltransferase/transcriptional activator	[KOG2642]
Lipid transport and metabolism	Alpha-1,2 glucosyltransferase/transcriptional activator	[KOG2642]
Signal transduction mechanisms	Alpha-1,2 glucosyltransferase/transcriptional activator	[KOG2642]
Inorganic ion transport and metabolism	Ca2+ binding protein, contains EF-hand motifs	[KOG2643]
Function unknown	Thioredoxin	[KOG2640]
Signal transduction mechanisms	Protein kinase	[KOG2137]
Chromatin structure and dynamics	Phosphatidylserine-specific receptor PtdSerR, contains JmjC domain	[KOG2130]
Signal transduction mechanisms	Phosphatidylserine-specific receptor PtdSerR, contains JmjC domain	[KOG2130]
General function prediction only	Predicted Dolichyl-phosphate-mannose-protein mannosyltransferase	[KOG2647]
Chromatin structure and dynamics	Uncharacterized conserved protein, contains JmjC domain	[KOG2132]
Signal transduction mechanisms	Uncharacterized conserved protein, contains JmjC domain	[KOG2132]
General function prediction only	Transcriptional corepressor Atrophin-1/DRPLA	[KOG2133]
Signal transduction mechanisms	Invasion-inducing protein TIAM1/CDC24 and related RhoGEF GTPases	[KOG3519]
General function prediction only	Predicted ABC-type transport, ATPase component/CCR4 associated factor	[KOG2355]
Transcription	Predicted ABC-type transport, ATPase component/CCR4 associated factor	[KOG2355]
General function prediction only	FAD-dependent oxidoreductase	[KOG2820]
Function unknown	Uncharacterized conserved protein	[KOG2357]
Cytoskeleton	Actin-related protein Arp2/3 complex, subunit ARPC2	[KOG2826]
Transcription	RNA polymerase II, fourth largest subunit	[KOG2351]
Posttranslational modification, protein turnover, chaperones	Glutaredoxin-related protein	[KOG2824]
Inorganic ion transport and metabolism	L-type voltage-dependent Ca2+ channel, alpha2/delta subunit	[KOG2353]
Signal transduction mechanisms	L-type voltage-dependent Ca2+ channel, alpha2/delta subunit	[KOG2353]
General function prediction only	Sortilin and related receptors	[KOG3511]
Defense mechanisms	Lipocalin-interacting membrane receptor (LIMR)	[KOG3722]
Energy production and conversion	Acetyl-CoA hydrolase	[KOG2828]
Signal transduction mechanisms	Netrin, axonal chemotropic factor	[KOG3512]
General function prediction only	Predicted transmembrane protein of the immunoglobulin family of cell adhesion molecules	[KOG3515]
Function unknown	Uncharacterized conserved protein	[KOG2359]
Transcription	Transcription factor PAX1/9	[KOG3517]
Translation, ribosomal structure and biogenesis	Mitochondrial ribosomal protein S18b	[KOG4021]
Intracellular trafficking, secretion, and vesicular transport	Mitochondrial Fe/S cluster exporter, ABC superfamily	[KOG0057]
Intracellular trafficking, secretion, and vesicular transport	Golgi reassembly stacking protein GRASP65, contains PDZ domain	[KOG3834]
Nucleotide transport and metabolism	Mitochondrial endonuclease	[KOG3721]
Posttranslational modification, protein turnover, chaperones	26S proteasome regulatory complex, subunit PSMD10	[KOG4412]
Coenzyme transport and metabolism	Nicotinamide mononucleotide adenylyl transferase	[KOG3199]
Intracellular trafficking, secretion, and vesicular transport	Signal recognition particle, subunit Srp19	[KOG3198]
Lipid transport and metabolism	Malonyl-CoA:ACP transacylase	[KOG2926]
General function prediction only	Uncharacterized membrane protein NPD008/CGI-148	[KOG3195]
Cell cycle control, cell division, chromosome partitioning	Checkpoint 9-1-1 complex, RAD1 component	[KOG3194]
Replication, recombination and repair	Checkpoint 9-1-1 complex, RAD1 component	[KOG3194]
General function prediction only	Predicted hydrolases of HD superfamily	[KOG3197]
Energy production and conversion	NADH:ubiquinone oxidoreductase, NDUFV2/24 kD subunit	[KOG3196]
Translation, ribosomal structure and biogenesis	Predicted N6-DNA-methyltransferase	[KOG3191]
Function unknown	Uncharacterized conserved protein	[KOG3190]
Inorganic ion transport and metabolism	K+ channel subunit	[KOG3193]
Posttranslational modification, protein turnover, chaperones	Mitochondrial J-type chaperone	[KOG3192]
Signal transduction mechanisms	Presenilin	[KOG2736]
General function prediction only	Putative metallopeptidase	[KOG2737]
Function unknown	Uncharacterized conserved protein	[KOG2734]
Lipid transport and metabolism	Phosphatidylserine synthase	[KOG2735]
Inorganic ion transport and metabolism	Receptor-activated Ca2+-permeable cation channels (STRPC family)	[KOG3609]
Signal transduction mechanisms	Receptor-activated Ca2+-permeable cation channels (STRPC family)	[KOG3609]
General function prediction only	Zn finger proteins	[KOG3608]
General function prediction only	Methylase	[KOG2730]
RNA processing and modification	DNA alkylation damage repair protein	[KOG2731]
Function unknown	Uncharacterized conserved protein	[KOG3357]
Function unknown	Pecanex	[KOG3604]
Posttranslational modification, protein turnover, chaperones	Meltrins, fertilins and related Zn-dependent metalloproteinases of the ADAMs family	[KOG3607]
Carbohydrate transport and metabolism	Gluconate kinase	[KOG3354]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L22	[KOG3353]
Energy production and conversion	Cytochrome c oxidase, subunit Vb/COX4	[KOG3352]
General function prediction only	Predicted phospholipase D	[KOG3603]
General function prediction only	WD40 repeat-containing protein	[KOG3602]
Lipid transport and metabolism	Oligoketide cyclase/lipid transport protein	[KOG3177]
Replication, recombination and repair	Predicted alpha-helical protein, potentially involved in replication/repair	[KOG3176]
General function prediction only	Protein phosphatase 4 regulatory subunit 2 related protein	[KOG3175]
Cytoskeleton	F-actin capping protein, beta subunit	[KOG3174]
Signal transduction mechanisms	Nuclear protein COP1	[KOG4378]
RNA processing and modification	Small nuclear ribonucleoprotein Sm D3	[KOG3172]
Signal transduction mechanisms	Conserved phosducin-like protein	[KOG3171]
Signal transduction mechanisms	Conserved phosducin-like protein	[KOG3170]
RNA processing and modification	RNA-binding protein Bicaudal-C	[KOG4374]
Signal transduction mechanisms	Scaffold protein Shank and related SAM domain proteins	[KOG4375]
Function unknown	Uncharacterized conserved protein	[KOG4376]
General function prediction only	Zn-finger protein	[KOG4377]
Signal transduction mechanisms	Ral-GTPase effector RLIP76	[KOG4370]
Signal transduction mechanisms	Membrane-associated protein tyrosine phosphatase PTP-BAS and related proteins, contain FERM domain	[KOG4371]
Nucleotide transport and metabolism	Predicted glutamine synthetase	[KOG3179]
General function prediction only	Predicted 3'-5' exonuclease	[KOG4373]
Amino acid transport and metabolism	3-hydroxyanthranilate oxygenase HAAO	[KOG3995]
Function unknown	Uncharacterized conserved protein	[KOG3994]
Replication, recombination and repair	Major apurinic/apyrimidinic endonuclease/3'-repair diesterase APN1	[KOG3997]
Energy production and conversion	Holocytochrome c synthase/heme-lyase	[KOG3996]
Posttranslational modification, protein turnover, chaperones	Holocytochrome c synthase/heme-lyase	[KOG3996]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein S19	[KOG0899]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S15	[KOG0898]
Posttranslational modification, protein turnover, chaperones	Carboxymethyl transferase	[KOG2918]
General function prediction only	Guanine nucleotide-binding protein	[KOG2919]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-conjugating enzyme	[KOG0895]
Translation, ribosomal structure and biogenesis	Predicted exosome subunit	[KOG2917]
General function prediction only	Predicted haloacid-halidohydrolase and related hydrolases	[KOG2914]
Translation, ribosomal structure and biogenesis	tRNA(1-methyladenosine) methyltransferase, subunit GCD14	[KOG2915]
Function unknown	Predicted DNA methylase	[KOG2912]
Signal transduction mechanisms	Protein kinase of the PI-3 kinase family involved in mitotic growth, DNA repair and meiotic recombination	[KOG0890]
Chromatin structure and dynamics	Protein kinase of the PI-3 kinase family involved in mitotic growth, DNA repair and meiotic recombination	[KOG0890]
Replication, recombination and repair	Protein kinase of the PI-3 kinase family involved in mitotic growth, DNA repair and meiotic recombination	[KOG0890]
Cell cycle control, cell division, chromosome partitioning	Protein kinase of the PI-3 kinase family involved in mitotic growth, DNA repair and meiotic recombination	[KOG0890]
